# Frequency (cm-1), IR Intensity (km/mol), Raman Intensity (A2/amu)
1.032006269836183492e+02,1.990354787237459955e-01,1.680515122534744776e+00
1.035708102519851934e+02,2.021876004275972027e-01,1.694839543082051758e+00
1.039409935203520376e+02,2.054421119434443610e-01,1.697146141092254146e+00
1.043111767887188677e+02,2.088036557909150603e-01,1.687263114869028025e+00
1.046813600570856977e+02,2.122771440938190368e-01,1.665371703193578634e+00
1.050515433254525419e+02,2.158677776716491359e-01,1.632020409844743725e+00
1.054217265938193862e+02,2.195810667272901362e-01,1.588142164545031321e+00
1.057919098621862162e+02,2.234228532845073112e-01,1.535047288079108174e+00
1.061620931305530462e+02,2.273993355454695109e-01,1.474369579527222029e+00
1.065322763989198904e+02,2.315170943572181783e-01,1.407961278557115170e+00
1.069024596672867347e+02,2.357831219969415693e-01,1.337753681372123138e+00
1.072726429356535647e+02,2.402048535094110371e-01,1.265612493042257869e+00
1.076428262040203947e+02,2.447902008563374032e-01,1.193216175708826654e+00
1.080130094723872389e+02,2.495475901671151964e-01,1.121974932021422511e+00
1.083831927407540690e+02,2.544860024138420052e-01,1.052994484954032473e+00
1.087533760091208990e+02,2.596150178712034462e-01,9.870782544203160480e-01
1.091235592774877432e+02,2.649448647642853039e-01,9.247562581183446095e-01
1.094937425458545874e+02,2.704864725553781657e-01,8.663285098442345955e-01
1.098639258142214175e+02,2.762515303750469609e-01,8.119129615357827401e-01
1.102341090825882475e+02,2.822525511640510687e-01,7.614912820271282357e-01
1.106042923509550917e+02,2.885029421620758372e-01,7.149487828615826990e-01
1.109744756193219359e+02,2.950170824578325357e-01,6.721070650999967366e-01
